tconst	averageRating	numVotes
tt0000210	4.9	33
tt0000211	7.4	4559
tt0000213	4.7	259
tt0000214	4.2	103
tt0000215	4.0	131
tt0000218	5.9	683
tt0000219	6.6	31
tt0000222	4.6	251
tt0000223	5.4	19
tt0000225	5.1	37
tt0000228	4.9	298
tt0000229	4.4	115
tt0000230	6.5	1748
tt0000231	3.1	19
tt0000234	6.4	73
tt0000235	6.3	918
tt0000239	5.5	268
tt0000240	4.5	94
tt0000242	6.4	1279
tt0000245	6.3	52
tt0000246	6.4	1068
tt0000247	5.0	502
tt0000248	6.1	1653
tt0000251	5.3	155
tt0000253	4.2	27
tt0000256	4.8	180
tt0000261	5.4	72
tt0000264	5.7	471
tt0000265	4.3	148
tt0000269	4.8	139
tt0000271	6.3	13
tt0000272	5.6	878
tt0000273	5.5	661
tt0000274	5.6	275
tt0000276	6.8	33
tt0000277	6.1	68
tt0000278	6.0	23
tt0000279	4.1	26
tt0000280	4.4	26
tt0000281	4.5	24
tt0000283	5.8	19
tt0000284	5.3	248
tt0000285	5.3	28
tt0000286	5.7	275
tt0000287	4.9	169
tt0000288	5.2	211
tt0000292	5.1	106
tt0000296	5.8	253
tt0000299	5.6	284
tt0000300	6.9	1368
tt0000301	4.4	440
tt0000302	5.2	257
tt0000304	6.0	1315
tt0000306	5.3	249
tt0000307	5.0	96
tt0000308	5.3	125
tt0000309	6.1	946
tt0000310	7.2	35
tt0000313	5.8	822
tt0000319	5.8	246
tt0000321	4.8	236
tt0000328	6.1	15
tt0000335	5.9	55
tt0000337	4.9	380
tt0000340	4.9	326
tt0000341	4.9	382
tt0000346	4.7	236
tt0000347	4.4	119
tt0000349	5.5	140
tt0000350	5.7	760
tt0000352	5.4	61
tt0000353	5.2	375
tt0000355	6.2	762
tt0000357	5.8	484
tt0000358	6.2	754
tt0000359	7.1	3086
tt0000361	7.6	26
tt0000363	6.2	184
tt0000364	5.6	174
tt0000368	6.8	22
tt0000370	5.6	557
tt0000373	6.4	104
tt0000376	6.0	21
tt0000377	6.1	131
tt0000379	3.9	12
tt0000380	6.9	27
tt0000381	3.6	26
tt0000384	5.8	313
tt0000387	5.1	403
tt0000388	5.2	137
tt0000399	6.1	784
tt0000400	5.9	17
tt0000406	5.8	45
tt0000407	3.6	40
tt0000409	5.1	256
tt0000410	6.7	1065
tt0000412	4.3	27
tt0000413	5.5	479
tt0000414	5.4	783
tt0000416	5.4	185
tt0000417	8.2	54219
tt0000420	6.2	2808
tt0000423	5.5	246
tt0000425	4.9	25
tt0000426	3.8	21
tt0000430	5.9	714
tt0000432	5.7	245
tt0000436	6.1	541
tt0000437	5.1	291
tt0000439	7.3	20535
tt0000440	5.4	238
tt0000442	4.7	98
tt0000446	4.8	25
tt0000447	6.4	2618
tt0000451	6.5	996
tt0000452	4.6	115
tt0000455	6.8	1907
tt0000456	4.0	63
tt0000459	4.4	77
tt0000464	4.8	463
tt0000465	7.3	1738
tt0000469	5.8	1114
tt0000471	5.2	522
tt0000472	6.3	23
tt0000479	5.3	404
tt0000480	5.1	209
tt0000487	6.8	536
tt0000488	6.9	842
tt0000491	3.7	69
tt0000492	4.8	135
tt0000495	6.0	120
tt0000496	5.9	70
tt0000497	5.2	90
tt0000498	6.6	1283
tt0000499	7.5	3865
tt0000501	4.6	51
tt0000502	4.1	15
tt0000505	6.5	29
tt0000507	3.5	60
tt0000509	5.8	49
tt0000511	6.4	46
tt0000512	4.5	71
tt0000515	4.8	101
tt0000516	6.6	1091
tt0000519	5.7	400
tt0000520	6.3	63
tt0000521	5.5	328
tt0000524	5.8	789
tt0000525	5.4	53
tt0000526	4.2	69
tt0000528	6.2	17
tt0000533	6.7	40
tt0000534	6.6	1246
tt0000535	4.8	64
tt0000537	4.4	94
tt0000543	4.8	17
tt0000546	6.7	1943
tt0000550	3.6	13
tt0000552	5.7	65
tt0000553	6.5	495
tt0000554	6.3	1416
tt0000555	4.9	19
tt0000557	4.6	140
tt0000561	5.0	61
tt0000565	6.2	631
tt0000567	6.8	1314
tt0000570	3.9	55
tt0000571	6.7	70
tt0000574	6.0	855
tt0000575	5.7	541
tt0000576	6.1	241
tt0000578	7.4	28
tt0000582	4.7	736
tt0000583	5.1	51
tt0000584	5.0	83
tt0000588	5.4	8
tt0000591	5.0	21
tt0000594	5.6	14
tt0000595	5.4	13
tt0000596	4.9	22
tt0000597	4.9	74
tt0000598	5.1	36
tt0000599	3.8	14
tt0000601	5.8	12
tt0000602	4.3	243
tt0000608	5.8	19
tt0000609	4.3	20
tt0000610	4.5	20
tt0000613	4.3	13
tt0000614	6.5	1173
tt0000615	4.3	25
tt0000617	4.6	38
tt0000618	8.9	14
tt0000621	6.5	608
tt0000627	5.7	62
tt0000628	5.7	893
tt0000629	5.6	85
tt0000630	2.9	27
tt0000632	5.0	56
tt0000634	3.5	26
tt0000637	5.5	763
tt0000638	4.9	86
tt0000639	5.0	98
tt0000640	4.4	146
tt0000641	4.7	175
tt0000642	5.2	67
tt0000644	5.1	63
tt0000645	5.0	182
tt0000648	4.6	167
tt0000650	7.6	21
tt0000651	4.9	72
tt0000653	4.5	222
tt0000654	4.9	115
tt0000658	6.4	277
tt0000659	4.7	83
tt0000660	5.4	63
tt0000661	7.2	19
tt0000662	4.3	65
tt0000663	5.1	62
tt0000665	5.3	64
tt0000666	5.4	32
tt0000668	6.6	54
tt0000669	4.9	162
tt0000671	5.7	15
tt0000672	5.9	45
tt0000673	5.5	14
tt0000674	4.6	51
tt0000675	4.2	20
tt0000676	3.6	17
tt0000679	5.0	70
tt0000680	5.2	49
tt0000681	5.3	41
tt0000682	6.9	2740
tt0000683	5.4	86
tt0000684	5.1	129
tt0000685	5.5	48
tt0000689	6.2	57
tt0000690	6.1	43
tt0000694	4.8	51
tt0000695	5.6	53
tt0000697	4.0	31
tt0000698	4.7	26
tt0000699	5.5	27
tt0000700	5.1	78
tt0000704	5.1	58
tt0000706	4.6	31
tt0000707	4.7	27
tt0000708	4.3	39
tt0000709	5.4	67
tt0000713	5.0	23
tt0000717	5.3	19
tt0000720	6.0	18
tt0000722	4.7	12
tt0000724	5.2	41
tt0000725	4.8	17
tt0000727	5.5	20
tt0000728	5.9	131
tt0000730	5.8	70
tt0000731	4.5	24
tt0000733	5.9	31
tt0000734	3.0	14
tt0000737	4.8	34
tt0000738	7.8	20
tt0000739	6.2	16
tt0000740	5.0	19
tt0000741	4.7	25
tt0000743	6.2	15
tt0000746	7.1	20
tt0000747	4.6	21
tt0000748	5.4	27
tt0000749	5.7	832
tt0000752	5.1	138
tt0000754	7.2	64
tt0000755	5.7	216
tt0000756	5.3	138
tt0000758	6.1	30
tt0000759	7.6	12
tt0000762	5.1	35
tt0000764	5.6	139
tt0000767	6.0	20
tt0000769	5.3	164
tt0000770	5.4	162
tt0000771	5.6	23
tt0000772	5.8	20
tt0000775	7.5	11
tt0000776	5.6	131
tt0000778	6.0	16
tt0000779	5.0	18
tt0000781	6.3	19
tt0000782	8.4	20
tt0000784	4.1	26
tt0000785	5.2	66
tt0000787	4.9	21
tt0000789	5.0	68
tt0000790	6.1	410
tt0000792	4.5	70
tt0000793	4.1	20
tt0000797	5.4	176
tt0000798	4.5	16
tt0000800	5.1	115
tt0000801	4.9	74
tt0000803	6.5	11
tt0000807	4.4	62
tt0000809	6.1	63
tt0000815	4.4	66
tt0000816	4.5	130
tt0000817	4.3	21
tt0000819	5.1	67
tt0000821	4.6	125
tt0000823	4.2	54
tt0000825	4.1	56
tt0000826	3.9	55
tt0000827	5.2	99
tt0000828	5.2	114
tt0000829	4.1	59
tt0000831	5.2	138
tt0000832	6.6	2673
tt0000833	6.4	731
tt0000835	4.8	159
tt0000836	4.7	54
tt0000837	5.1	43
tt0000840	5.6	351
tt0000841	5.2	81
tt0000843	5.2	41
tt0000844	6.6	22
tt0000845	4.5	43
tt0000847	5.6	16
tt0000848	5.4	23
tt0000851	4.9	46
tt0000852	5.6	261
tt0000853	5.2	41
tt0000854	5.9	539
tt0000855	5.2	51
tt0000857	4.6	38
tt0000858	4.6	38
tt0000860	4.5	79
tt0000861	4.9	60
tt0000862	4.4	17
tt0000864	5.6	60
tt0000866	5.7	9
tt0000870	5.2	59
tt0000871	5.7	119
tt0000873	5.8	12
tt0000874	4.7	52
tt0000875	4.3	38
tt0000877	4.7	107
tt0000878	5.0	180
tt0000880	5.7	86
tt0000882	5.7	223
tt0000884	3.5	12
tt0000886	4.7	40
tt0000887	4.9	51
tt0000890	6.9	33
tt0000891	5.6	60
tt0000892	5.6	82
tt0000893	6.2	44
tt0000895	5.5	209
tt0000896	3.2	24
tt0000897	5.3	65
tt0000898	5.2	27
tt0000900	3.6	24
tt0000901	4.5	25
tt0000902	4.5	17
tt0000903	5.4	22
tt0000904	5.3	118
tt0000905	4.8	24
tt0000908	6.0	31
tt0000910	4.8	27
tt0000911	2.6	26
tt0000912	4.3	70
tt0000916	6.0	66
tt0000919	3.2	24
tt0000920	4.2	24
tt0000921	5.0	26
tt0000922	5.4	113
tt0000924	6.1	189
tt0000928	5.3	97
tt0000929	5.3	46
tt0000930	4.6	12
tt0000932	3.2	10
tt0000933	4.7	50
tt0000934	3.8	20
tt0000935	6.1	111
tt0000936	6.2	122
tt0000938	4.6	190
tt0000939	4.9	20
tt0000941	4.5	27
tt0000942	6.1	1054
tt0000944	3.8	11
tt0000945	4.7	80
tt0000946	4.6	82
tt0000950	4.0	16
tt0000954	5.0	17
tt0000956	5.6	16
tt0000957	6.1	50
tt0000958	5.3	17
tt0000960	4.7	296
tt0000961	8.1	22
tt0000962	4.4	15
tt0000964	4.5	17
tt0000966	5.6	356
tt0000967	4.4	18
tt0000969	6.6	26
tt0000970	5.8	82
tt0000971	6.3	181
tt0000972	5.8	96
tt0000974	5.1	60
tt0000975	5.1	22
tt0000976	3.9	20
tt0000979	4.9	30
tt0000981	5.6	59
tt0000985	4.4	16
tt0000986	5.1	119
tt0000987	7.8	10
tt0000988	4.7	25
tt0000989	4.7	49
tt0000990	5.9	84
tt0000992	4.4	15
tt0000995	6.6	18
tt0000997	6.2	16
tt0000998	5.2	18
tt0001000	5.3	55
tt0001001	5.2	141
tt0001002	4.8	101
tt0001005	4.8	20
tt0001008	5.2	29
tt0001009	6.5	995
tt0001010	4.2	15
tt0001011	4.4	17
tt0001013	5.8	408
tt0001014	4.8	117
tt0001015	4.7	26
tt0001016	5.1	148
tt0001020	4.2	14
tt0001025	7.3	17
tt0001027	5.3	17
tt0001028	4.0	20
tt0001029	5.1	53
tt0001032	6.0	938
tt0001033	4.4	21
tt0001035	5.2	40
tt0001036	2.6	12
tt0001037	3.4	18
tt0001038	3.7	22
tt0001041	5.0	42
tt0001044	5.5	115
tt0001045	5.6	15
tt0001049	4.2	18
tt0001050	4.9	86
tt0001052	4.8	17
tt0001053	5.4	16
tt0001054	5.7	35
tt0001058	5.0	25
tt0001061	6.6	63
tt0001062	6.2	1262
tt0001063	5.2	17
tt0001064	4.8	44
tt0001065	4.2	17
tt0001066	4.8	21
tt0001067	5.8	49
tt0001071	6.0	15
tt0001072	5.6	379
tt0001074	5.6	21
tt0001075	4.4	17
tt0001076	5.2	26
tt0001077	5.0	15
tt0001078	5.4	54
tt0001079	3.8	17
tt0001083	5.0	145
tt0001084	5.2	179
tt0001085	4.8	17
tt0001086	5.7	17
tt0001088	5.0	77
tt0001089	8.2	38
tt0001090	6.5	16
tt0001091	5.3	212
tt0001092	5.7	53
tt0001094	3.8	17
tt0001095	2.4	17
tt0001098	5.9	20
tt0001099	5.0	17
tt0001101	4.7	39
tt0001103	5.4	67
tt0001104	4.8	59
tt0001105	6.4	1002
tt0001106	5.9	156
tt0001107	6.0	102
tt0001111	4.5	17
tt0001112	3.8	45
tt0001113	5.1	17
tt0001115	4.3	20
tt0001116	4.6	20
tt0001117	5.4	15
tt0001118	5.5	209
tt0001120	5.6	246
tt0001121	4.4	58
tt0001122	4.9	19
tt0001129	4.8	69
tt0001135	4.4	60
tt0001139	5.5	40
tt0001143	4.5	53
tt0001144	4.5	53
tt0001145	5.8	10
tt0001150	5.2	125
tt0001151	4.0	61
tt0001152	5.4	80
tt0001153	3.7	56
tt0001156	4.0	56
tt0001159	5.6	31
tt0001161	4.2	58
tt0001165	4.4	41
tt0001175	5.1	42
tt0001176	4.2	40
tt0001184	3.8	21
tt0001185	7.0	20
tt0001186	5.2	73
tt0001187	4.4	41
tt0001190	6.6	14
tt0001195	4.4	16
tt0001196	4.1	9
tt0001200	4.5	45
tt0001202	4.6	40
tt0001206	6.0	44
tt0001207	5.5	147
tt0001211	5.5	47
tt0001214	6.6	9
tt0001216	4.6	40
tt0001217	5.6	111
tt0001218	5.2	123
tt0001223	6.4	4613
tt0001227	5.8	267
tt0001230	5.0	31
tt0001234	5.4	44
tt0001235	5.3	60
tt0001236	5.0	43
tt0001237	4.7	79
tt0001240	3.8	22
tt0001241	4.5	16
tt0001242	5.1	18
tt0001245	5.6	78
tt0001253	5.6	24
tt0001254	4.4	24
tt0001256	5.9	568
tt0001258	5.8	163
tt0001262	4.8	32
tt0001264	7.0	81
tt0001265	6.3	551
tt0001277	4.4	25
tt0001280	4.9	36
tt0001282	6.6	37
tt0001283	5.7	25
tt0001284	4.9	50
tt0001285	5.4	59
tt0001292	4.9	65
tt0001294	7.2	16
tt0001299	3.1	16
tt0001303	6.0	18
tt0001306	4.8	11
tt0001307	5.5	17
tt0001310	5.5	31
tt0001313	5.2	16
tt0001314	5.8	162
tt0001315	5.9	26
tt0001321	5.2	61
tt0001326	5.5	64
tt0001330	5.5	44
tt0001332	5.3	34
tt0001333	5.6	60
tt0001334	6.2	19
tt0001337	5.5	60
tt0001338	5.2	18
tt0001340	5.1	102
tt0001348	4.0	12
tt0001351	6.0	67
tt0001353	5.0	13
tt0001358	4.2	28
tt0001364	6.2	12
tt0001370	5.3	25
tt0001371	5.9	430
tt0001377	4.9	28
tt0001378	6.0	223
tt0001379	4.6	13
tt0001380	3.6	11
tt0001381	5.6	41
tt0001385	5.3	81
tt0001386	4.3	19
tt0001387	5.3	35
tt0001388	5.7	93
tt0001396	3.0	19
tt0001400	6.4	17
tt0001401	6.0	33
tt0001407	6.0	21
tt0001410	4.6	22
tt0001414	6.2	69
tt0001423	4.2	13
tt0001428	5.1	56
tt0001431	6.3	842
tt0001432	5.8	36
tt0001439	5.8	273
tt0001440	4.7	22
tt0001443	5.8	17
tt0001444	3.2	33
tt0001446	5.3	18
tt0001452	5.5	218
tt0001454	5.6	40
tt0001456	8.5	18
tt0001458	5.8	212
tt0001459	5.4	62
tt0001460	2.9	18
tt0001461	6.0	35
tt0001463	5.7	1612
tt0001469	5.7	148
tt0001475	7.4	22
tt0001481	5.6	41
tt0001482	4.9	77
tt0001488	6.3	532
tt0001490	4.9	26
tt0001496	4.2	67
tt0001497	7.2	10
tt0001498	7.8	14
tt0001499	5.7	370
tt0001500	5.0	8
tt0001508	4.8	51
tt0001510	5.3	69
tt0001517	5.5	44
tt0001518	5.6	22
tt0001519	5.0	41
tt0001527	7.7	3133
tt0001529	4.0	22
tt0001530	5.4	18
tt0001531	4.6	15
tt0001532	5.2	14
tt0001542	4.0	35
tt0001544	6.0	775
tt0001545	6.0	147
tt0001550	5.5	54
tt0001551	5.2	99
tt0001552	4.8	39
tt0001557	4.8	113
tt0001560	4.5	26
tt0001563	5.9	44
tt0001564	4.1	31
tt0001571	4.4	29
tt0001577	4.4	31
tt0001582	4.4	32
tt0001583	5.5	17
tt0001584	5.1	20
tt0001586	3.4	20
tt0001587	4.1	27
tt0001588	5.4	213
tt0001590	5.5	7
tt0001592	6.0	26
tt0001593	6.3	395
tt0001594	6.4	357
tt0001598	5.8	48
tt0001607	5.4	78
tt0001613	5.3	163
tt0001614	6.4	40
tt0001615	4.9	39
tt0001618	6.1	21
tt0001624	5.1	49
tt0001630	6.2	37
tt0001632	6.4	47
tt0001642	5.0	42
tt0001648	4.2	8
tt0001654	5.3	42
tt0001655	4.0	18
tt0001658	5.9	16
tt0001659	6.6	18
tt0001660	5.6	219
tt0001668	4.2	36
tt0001671	5.1	38
tt0001680	5.1	642
tt0001681	4.8	305
tt0001692	5.4	14
tt0001693	6.9	24
tt0001695	4.8	62
tt0001696	4.2	12
tt0001701	4.6	80
tt0001706	4.3	18
tt0001709	5.5	43
tt0001712	4.6	8
tt0001715	3.1	9
tt0001717	3.4	24
tt0001722	4.2	12
tt0001724	5.8	282
tt0001728	6.7	16
tt0001732	7.0	18
tt0001733	5.2	23
tt0001737	7.1	1805
tt0001738	6.8	60
tt0001740	6.5	1298
tt0001741	4.5	24
tt0001742	5.7	15
tt0001747	5.3	26
tt0001753	5.3	19
tt0001761	5.0	6
tt0001762	4.7	75
tt0001769	5.4	84
tt0001771	5.5	166
tt0001772	5.6	22
tt0001776	6.4	237
tt0001777	5.1	19
tt0001779	7.0	16
tt0001787	8.0	14
tt0001789	6.3	291
tt0001790	6.0	52
tt0001791	5.3	12
tt0001799	4.9	14
tt0001803	3.0	12
tt0001812	5.5	14
tt0001815	6.6	27
tt0001817	5.2	89
tt0001832	5.8	62
tt0001840	4.8	43
tt0001845	5.1	11
tt0001848	4.4	42
tt0001852	4.1	12
tt0001856	4.6	55
tt0001857	5.6	221
tt0001862	5.3	48
tt0001865	5.9	83
tt0001868	5.1	9
tt0001871	4.8	61
tt0001872	7.4	58
tt0001874	7.7	13
tt0001877	5.2	77
tt0001886	4.6	12
tt0001889	4.0	15
tt0001892	5.8	254
tt0001896	5.1	81
tt0001910	5.3	74
tt0001911	3.6	24
tt0001913	5.4	239
tt0001915	5.5	137
tt0001921	5.3	15
tt0001923	7.2	36
tt0001924	5.4	12
tt0001925	5.0	52
tt0001927	5.0	12
tt0001928	4.5	55
tt0001941	5.1	92
tt0001949	5.5	29
tt0001956	6.1	17
tt0001957	5.1	58
tt0001963	5.6	166
tt0001964	5.9	93
tt0001967	5.9	11
tt0001969	5.4	14
tt0001973	6.1	287
tt0001978	5.8	46
tt0001987	6.1	25
tt0001989	5.0	15
tt0001993	4.1	22
tt0001998	4.6	41
tt0002004	5.8	15
tt0002020	4.6	152
tt0002022	6.0	13
tt0002026	4.5	15
tt0002029	6.0	69
tt0002031	4.1	25
tt0002033	5.3	42
tt0002034	5.4	69
tt0002041	4.4	67
tt0002045	4.3	90
tt0002046	3.7	9
tt0002054	5.8	223
tt0002056	6.6	218
tt0002064	4.8	84
tt0002065	6.2	65
tt0002066	3.8	100
tt0002068	4.9	53
tt0002070	5.2	49
tt0002071	4.2	18
tt0002078	5.0	67
tt0002082	6.0	415
tt0002083	6.1	309
tt0002093	4.6	40
tt0002095	4.9	38
tt0002096	4.1	17
tt0002097	3.9	38
tt0002098	5.9	153
tt0002101	5.1	594
tt0002107	4.7	24
tt0002113	6.9	1147
tt0002114	4.6	18
tt0002121	4.9	49
tt0002122	6.2	321
tt0002124	5.1	384
tt0002126	5.9	89
tt0002130	7.0	3301
tt0002132	5.7	22
tt0002133	5.7	217
tt0002136	5.6	103
tt0002139	5.7	20
tt0002143	6.0	746
tt0002144	5.1	17
tt0002145	8.9	13
tt0002151	5.0	32
tt0002153	5.9	78
tt0002159	4.5	42
tt0002160	6.2	139
tt0002162	4.6	83
tt0002167	4.6	22
tt0002172	4.8	36
tt0002176	5.9	322
tt0002177	5.9	77
tt0002179	3.6	41
tt0002181	6.1	236
tt0002186	6.5	137
tt0002190	6.2	419
tt0002196	4.6	20
tt0002197	5.5	305
tt0002198	6.3	28
tt0002199	5.8	624
tt0002200	6.1	97
tt0002202	4.8	16
tt0002203	5.0	63
tt0002206	5.5	21
tt0002208	6.8	1275
tt0002212	5.2	44
tt0002214	6.0	43
tt0002216	5.3	47
tt0002220	3.8	46
tt0002221	6.7	492
tt0002224	5.1	162
tt0002226	5.7	70
tt0002230	6.4	103
tt0002232	5.3	65
tt0002233	4.6	145
tt0002234	8.5	27
tt0002253	4.5	14
tt0002255	4.5	54
tt0002259	5.0	16
tt0002260	6.3	1314
tt0002261	5.8	34
tt0002262	5.4	12
tt0002266	6.2	14
tt0002268	4.6	15
tt0002273	5.0	38
tt0002277	6.4	40
tt0002278	5.1	40
tt0002280	5.0	51
tt0002281	6.2	326
tt0002282	5.8	54
tt0002287	4.4	15
tt0002290	5.3	67
tt0002293	4.1	18
tt0002295	7.4	14
tt0002300	6.0	19
tt0002302	5.7	61
tt0002303	5.6	203
tt0002305	7.6	29
tt0002309	8.6	22
tt0002318	5.7	45
tt0002320	3.6	17
tt0002325	5.6	6
tt0002329	5.0	35
tt0002330	5.4	16
tt0002332	5.2	39
tt0002340	5.7	58
tt0002342	5.7	104
tt0002349	5.5	21
tt0002350	6.5	342
tt0002354	6.1	188
tt0002355	5.8	71
tt0002357	6.1	243
tt0002369	6.1	63
tt0002370	5.6	16
tt0002371	6.1	22
tt0002374	6.2	19
tt0002375	5.7	12
tt0002380	5.5	27
tt0002381	6.6	2429
tt0002382	6.1	65
tt0002383	6.2	11
tt0002386	5.9	157
tt0002387	4.4	53
tt0002391	6.3	914
tt0002392	6.0	14
tt0002395	4.9	12
tt0002398	5.1	54
tt0002399	4.2	24
tt0002400	5.7	261
tt0002402	7.7	8
tt0002405	5.0	41
tt0002406	4.6	26
tt0002408	6.2	325
tt0002409	6.1	20
tt0002415	5.9	632
tt0002421	6.1	120
tt0002423	6.6	975
tt0002429	6.2	177
tt0002431	5.2	13
tt0002434	9.0	13
tt0002437	9.0	12
tt0002440	4.0	30
tt0002441	5.4	34
tt0002443	4.2	18
tt0002445	6.1	423
tt0002449	6.4	67
tt0002451	8.5	22
tt0002452	6.4	264
tt0002461	5.7	308
tt0002465	5.2	69
tt0002473	6.5	92
tt0002474	6.4	11
tt0002475	7.0	116
tt0002477	6.7	13
tt0002478	5.6	73
tt0002484	5.7	56
tt0002497	6.3	122
tt0002500	6.0	23
tt0002501	4.2	45
tt0002504	4.9	63
tt0002505	5.1	20
tt0002506	5.4	38
tt0002512	6.2	412
tt0002514	4.9	18
tt0002515	5.2	21
tt0002521	5.1	42
tt0002523	5.7	103
tt0002528	5.0	64
tt0002529	4.6	16
tt0002531	6.2	16
tt0002532	5.9	89
tt0002533	5.0	79
tt0002535	4.7	50
tt0002536	5.4	54
tt0002538	6.8	18
tt0002540	7.0	9
tt0002542	5.7	26
tt0002544	5.8	237
tt0002545	7.4	15
tt0002546	7.0	27
tt0002547	5.8	15
tt0002550	5.3	51
tt0002553	6.5	941
tt0002555	4.5	47
tt0002556	5.7	23
tt0002562	5.1	26
tt0002569	5.3	253
tt0002574	6.1	33
tt0002576	4.8	59
tt0002582	9.1	18
tt0002586	5.0	28
tt0002588	6.0	48
tt0002591	6.2	10
tt0002592	6.4	31
tt0002593	6.0	14
tt0002601	4.6	86
tt0002603	4.7	61
tt0002605	5.5	45
tt0002610	4.8	147
tt0002621	5.0	88
tt0002628	5.5	108
tt0002637	7.2	18
tt0002639	6.1	194
tt0002642	5.6	9
tt0002646	6.5	460
tt0002647	5.8	12
